
Gurobi 7.0.2 (linux64, Java) logging started Mon 20 May 2019 10:34:14 PM -03

Optimize a model with 241000 rows, 160400 columns and 562200 nonzeros
Variable types: 0 continuous, 160400 integer (160400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+00]
  Objective range  [1e+00, 1e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+00]
Found heuristic solution: objective -0
Presolve removed 1200 rows and 80200 columns (presolve time = 5s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 10s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 15s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 20s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 25s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 30s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 35s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 40s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 45s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 50s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 55s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 60s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 65s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 70s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 75s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 80s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 85s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 91s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 95s) ...
Presolve removed 1200 rows and 80200 columns (presolve time = 101s) ...
Presolve removed 1200 rows and 80200 columns
Presolve time: 101.44s
Presolved: 239800 rows, 80200 columns, 559800 nonzeros
Variable types: 0 continuous, 80200 integer (80200 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   23467    1.7684800e+05   3.848300e+04   0.000000e+00    573s
   23731    1.7644200e+05   3.114950e+04   0.000000e+00    576s
   23995    1.7610550e+05   3.762250e+04   0.000000e+00    580s
   24259    1.7579250e+05   3.776850e+04   0.000000e+00    586s
   24523    1.7545200e+05   3.731800e+04   0.000000e+00    592s
   24787    1.7512150e+05   3.673250e+04   0.000000e+00    596s
   25315    1.7436700e+05   3.687850e+04   0.000000e+00    605s
   25579    1.7400650e+05   3.437650e+04   0.000000e+00    610s
   25843    1.7366450e+05   3.848800e+04   0.000000e+00    616s
   26107    1.7332200e+05   3.826400e+04   0.000000e+00    621s
   26635    1.7254450e+05   3.670750e+04   0.000000e+00    629s
   26899    1.7214100e+05   3.535250e+04   0.000000e+00    632s
   27163    1.7178350e+05   3.559450e+04   0.000000e+00    636s
   27691    1.7104900e+05   3.421200e+04   0.000000e+00    643s
   27955    1.7066717e+05   3.589633e+04   0.000000e+00    645s
   28483    1.6994050e+05   2.972100e+04   0.000000e+00    652s
   28747    1.6954400e+05   3.624500e+04   0.000000e+00    655s
   29011    1.6922700e+05   3.605800e+04   0.000000e+00    662s
   29275    1.6891850e+05   3.555950e+04   0.000000e+00    668s
   29539    1.6855550e+05   2.535950e+04   0.000000e+00    670s
   30067    1.6785600e+05   3.297550e+04   0.000000e+00    678s
   30331    1.6751750e+05   3.087250e+04   0.000000e+00    681s
   30595    1.6720550e+05   3.588300e+04   0.000000e+00    685s
   30859    1.6685850e+05   3.645250e+04   0.000000e+00    694s
   31123    1.6653300e+05   3.633400e+04   0.000000e+00    699s
   31387    1.6617700e+05   3.512500e+04   0.000000e+00    704s
   31651    1.6585250e+05   2.898600e+04   0.000000e+00    712s
   31915    1.6549350e+05   3.630000e+04   0.000000e+00    716s
   32179    1.6517500e+05   3.547600e+04   0.000000e+00    722s
   32443    1.6489100e+05   3.598400e+04   0.000000e+00    730s
   32707    1.6455200e+05   3.487000e+04   0.000000e+00    744s
   32971    1.6427900e+05   3.512400e+04   0.000000e+00    752s
   33235    1.6403700e+05   3.551800e+04   0.000000e+00    764s
   33499    1.6374400e+05   3.494200e+04   0.000000e+00    773s
   33763    1.6345800e+05   3.565100e+04   0.000000e+00    784s
   34027    1.6313950e+05   3.522500e+04   0.000000e+00    791s
   34291    1.6280400e+05   3.463800e+04   0.000000e+00    798s
   34555    1.6250850e+05   3.483900e+04   0.000000e+00    806s
   34819    1.6223700e+05   3.512100e+04   0.000000e+00    812s
   35083    1.6194000e+05   2.967650e+04   0.000000e+00    819s
   35347    1.6165600e+05   3.158050e+04   0.000000e+00    826s
   35611    1.6134200e+05   3.457900e+04   0.000000e+00    835s
   35875    1.6111400e+05   3.504950e+04   0.000000e+00    843s
   36139    1.6087650e+05   2.515600e+04   0.000000e+00    854s
   36403    1.6059700e+05   3.444700e+04   0.000000e+00    861s
   36667    1.6026700e+05   3.461800e+04   0.000000e+00    865s
   36931    1.6004500e+05   3.414400e+04   0.000000e+00    878s
   37195    1.5976000e+05   2.491250e+04   0.000000e+00    885s
   37459    1.5940550e+05   3.448350e+04   0.000000e+00    891s
   37723    1.5910750e+05   2.445800e+04   0.000000e+00    897s
   37987    1.5877450e+05   2.768450e+04   0.000000e+00    901s
   38251    1.5854100e+05   3.434800e+04   0.000000e+00    908s
   38515    1.5835000e+05   3.388600e+04   0.000000e+00    919s
   38779    1.5807250e+05   3.451800e+04   0.000000e+00    928s
   39043    1.5775600e+05   3.380800e+04   0.000000e+00    937s
   39307    1.5752400e+05   3.318900e+04   0.000000e+00    950s
   39571    1.5722000e+05   3.363500e+04   0.000000e+00    959s
   39835    1.5691550e+05   3.244500e+04   0.000000e+00    967s
   40099    1.5663500e+05   3.196750e+04   0.000000e+00    974s
   40363    1.5633450e+05   2.741250e+04   0.000000e+00    980s
   40627    1.5608300e+05   3.195750e+04   0.000000e+00    984s
   40891    1.5579450e+05   2.876000e+04   0.000000e+00    990s
   41155    1.5553500e+05   3.337300e+04   0.000000e+00    996s
   41419    1.5524400e+05   3.251600e+04   0.000000e+00   1004s
   41683    1.5498850e+05   3.065500e+04   0.000000e+00   1012s
   41947    1.5479550e+05   2.895050e+04   0.000000e+00   1023s
   42211    1.5451150e+05   2.849750e+04   0.000000e+00   1029s
   42475    1.5425500e+05   3.313100e+04   0.000000e+00   1037s
   42739    1.5399600e+05   3.165950e+04   0.000000e+00   1045s
   43003    1.5373700e+05   3.233700e+04   0.000000e+00   1052s
   43267    1.5346250e+05   3.362000e+04   0.000000e+00   1061s
   43531    1.5321700e+05   2.407100e+04   0.000000e+00   1068s
   43795    1.5287400e+05   2.912950e+04   0.000000e+00   1071s
   44059    1.5258200e+05   3.216500e+04   0.000000e+00   1076s
   44323    1.5225600e+05   3.232000e+04   0.000000e+00   1081s
   44587    1.5198300e+05   3.187250e+04   0.000000e+00   1091s
   44851    1.5173450e+05   3.261500e+04   0.000000e+00   1097s
   45115    1.5148600e+05   3.162600e+04   0.000000e+00   1104s
   45379    1.5122100e+05   3.182000e+04   0.000000e+00   1115s
   45643    1.5100500e+05   3.232300e+04   0.000000e+00   1127s
   45846    1.5082100e+05   3.603700e+04   0.000000e+00   1140s
   46110    1.5055050e+05   2.378100e+04   0.000000e+00   1149s
   46374    1.5020400e+05   3.059250e+04   0.000000e+00   1153s
   46638    1.4992400e+05   3.181900e+04   0.000000e+00   1160s
   46902    1.4967100e+05   3.172400e+04   0.000000e+00   1167s
   47166    1.4943200e+05   2.984750e+04   0.000000e+00   1178s
   47430    1.4911050e+05   3.146900e+04   0.000000e+00   1184s
   47694    1.4884800e+05   3.115800e+04   0.000000e+00   1195s
   47958    1.4860850e+05   3.112500e+04   0.000000e+00   1203s
   48222    1.4834800e+05   3.141200e+04   0.000000e+00   1215s
   48486    1.4806500e+05   3.125400e+04   0.000000e+00   1222s
   48750    1.4781650e+05   3.048700e+04   0.000000e+00   1232s
   49014    1.4751700e+05   2.564750e+04   0.000000e+00   1240s
   49278    1.4727450e+05   3.033950e+04   0.000000e+00   1247s
   49542    1.4708050e+05   3.080750e+04   0.000000e+00   1255s
   49806    1.4678150e+05   2.683450e+04   0.000000e+00   1262s
   50070    1.4651900e+05   3.068000e+04   0.000000e+00   1271s
   50334    1.4638400e+05   3.068400e+04   0.000000e+00   1281s
   50598    1.4616400e+05   3.007250e+04   0.000000e+00   1290s
   50862    1.4586100e+05   3.066000e+04   0.000000e+00   1298s
   51126    1.4557450e+05   2.026200e+04   0.000000e+00   1306s
   51390    1.4525600e+05   3.046600e+04   0.000000e+00   1314s
   51654    1.4505750e+05   3.022700e+04   0.000000e+00   1324s
   51918    1.4477600e+05   1.493100e+05   0.000000e+00   1332s
   52182    1.4453500e+05   3.014900e+04   0.000000e+00   1344s
   52446    1.4424400e+05   3.037800e+04   0.000000e+00   1354s
