#,x,GRASPT1,GRASPT2,GRASPT3,TST1,TST2,TST3,GAT1,GAT2,GAT3
80,0.3975,0.016,0.094,0.203,0,0.179,6.046,1.453,2.062,2.781
81,0.4025,0.016,0.1,0.203,0,0.187,6.266,1.453,2.063,2.795
82,0.4075,0.016,0.108,0.203,0,0.187,6.312,1.454,2.078,2.797
83,0.4125,0.016,0.108,0.203,0,0.188,6.454,1.46,2.078,2.797
84,0.4175,0.016,0.108,0.204,0,0.188,6.751,1.469,2.094,2.797
85,0.4225,0.016,0.109,0.204,0,0.188,6.844,1.469,2.1,2.828
86,0.4275,0.016,0.109,0.216,0,0.188,6.953,1.469,2.1,2.828
87,0.4325,0.016,0.109,0.218,0,0.216,7.031,1.469,2.136,2.828
88,0.4375,0.016,0.11,0.219,0,0.216,7.312,1.474,2.143,2.856
89,0.4425,0.016,0.112,0.219,0,0.218,7.969,1.484,2.148,2.89
90,0.4475,0.016,0.112,0.219,0,0.219,8.249,1.485,2.156,2.891
91,0.4525,0.016,0.124,0.22,0,0.219,8.249,1.485,2.172,2.907
92,0.4575,0.016,0.124,0.232,0,0.219,8.542,1.485,2.172,2.914
93,0.4625,0.016,0.124,0.232,0,0.234,8.578,1.485,2.172,2.922
94,0.4675,0.016,0.125,0.234,0,0.235,9.375,1.498,2.172,2.922
95,0.4725,0.016,0.125,0.234,0,0.25,9.781,1.5,2.187,2.938
96,0.4775,0.016,0.125,0.235,0,0.25,9.984,1.5,2.188,2.94
97,0.4825,0.016,0.125,0.236,0,0.263,10.062,1.5,2.203,2.953
98,0.4875,0.016,0.125,0.24,0,0.265,10.355,1.5,2.203,2.969
99,0.4925,0.016,0.128,0.24,0,0.266,10.672,1.5,2.219,3
100,0.4975,0.016,0.128,0.248,0,0.281,10.734,1.506,2.234,3.031
101,0.5025,0.016,0.132,0.252,0,0.297,10.821,1.515,2.235,3.031
102,0.5075,0.016,0.136,0.252,0,0.313,10.922,1.515,2.235,3.038
103,0.5125,0.016,0.14,0.26,0,0.323,11,1.516,2.247,3.062
